Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
27-09-2016,GNA Axles,130.41,17.18,217.47,11.84,207,252,233.45,12.78,726.55,250.99
23-09-2016,L&T Technology,900,5.01,1.03,1.74,860,900,865.1,0.59,"5,328.55",519.6
31-08-2016,RBL Bank,1100,85.08,198.06,5.7,225,274.4,299.3,33.02,193.65,-13.93
12-08-2016,S P Apparels,215,1,0.45,0.54,268,275,295,10.07,397.5,48.32
11-08-2016,Dilip Buildcon,430,0,0,0,219,240,251.95,15.05,530.6,142.28
01-08-2016,Advanced Enzyme,60,94.03,393.1,11.67,896,1210,235.66,-73.7,336.55,-62.44
21-07-2016,L&T Infotech,1242,19.91,10.76,7.39,710,667,697.65,-1.74,"6,668.80",839.27
12-07-2016,Quess Corp,400,59.02,392.21,31.23,317,500,503,58.68,866.9,173.47
01-07-2016,Mahanagar Gas,1039.64,72.84,191.61,6.82,421,540,519.9,23.49,907.15,115.48
19-05-2016,Parag Milk Food,764.3,1.15,3.08,2.12,215,230,247.8,15.26,115.65,-46.21
10-05-2016,Ujjivan Financi,358.16,33.84,135.45,4.02,210,231.9,231.6,10.29,143.25,-31.79
09-05-2016,Thyrocare Techn,479.21,73.18,225.3,8.73,446,662,618.1,38.59,"1,108.35",148.51
21-04-2016,Equitas Holding,2159,14.93,57.29,1.4,110,145.1,135.25,22.95,118,7.27
01-04-2016,Bharat Wire Rop,70,1.01,2.02,2.08,45,47.25,45.4,0.89,57.8,28.44
18-02-2016,Quick Heal Tech,450,4.34,36.69,3.82,321,305,254.45,-20.73,224.7,-30
12-02-2016,TeamLease Ser.,273.68,26.97,185.24,10.61,850,860,1021.95,20.23,"4,287.40",404.4
08-02-2016,Precision Camsh,410,2.62,0.73,2.01,186,165,177.25,-4.7,146.15,-21.42
06-01-2016,Narayana Hruda,613,0.01,0.01,0.13,250,291,336.7,34.68,572.35,128.94
23-12-2015,Alkem Lab,1349.6,57.19,129.96,3.17,1050,1380,1381.45,31.57,"3,414.90",225.23
23-12-2015,Dr Lal PathLab,638,63.56,61.28,4.24,550,717,824.15,49.85,"3,721.00",576.55
16-11-2015,S H Kelkar,200,0,0,0,180,216,207.3,15.17,150.75,-16.25
10-11-2015,Interglobe Avi,3000,17.8,3.57,0.92,765,868,878.45,14.83,"1,892.00",147.32
02-11-2015,Coffee Day,1150,4.39,0.54,0.9,328,313,270.15,-17.64,37.4,-88.6
21-09-2015,Prabhat Dairy,300,0.88,1.42,0.34,115,113,116.35,1.17,99.65,-13.35
16-09-2015,Sadbhav Infra,425,3.04,1.66,1.69,103,111,106.15,3.06,13.75,-86.65
10-09-2015,Pennar Eng,156.19,0,0.04,0.11,178,177.95,157.5,-11.52,63.85,-64.13
